===============================================================================,,,,,,,,,,,,,,,,,,,,,,,,
Id,,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2022/3/10 0:00,160,169.5,158.8,158.9,315020,,TestStrategy,1,738224,Broker,1,100000,100000,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2022/3/11 0:00,142,146.5,139.5,146.4,320570,,TestStrategy,2,738225,Broker,2,100000,100000,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2022/3/14 0:00,131.9,131.9,123.4,125.7,307320,,TestStrategy,3,738228,Broker,3,100000,100000,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2022/3/15 0:00,115.5,117.4,108,109.6,470138,,TestStrategy,4,738229,Broker,4,100000,100000,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2022/3/16 0:00,124.9,146,117.8,141.5,637606,,TestStrategy,5,738230,Broker,5,100000,100000,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2022/3/17 0:00,156.8,156.8,145,145,393540,,TestStrategy,6,738231,Broker,6,100000,100000,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2022/3/18 0:00,155,155,146.6,150,281470,,TestStrategy,7,738232,Broker,7,100000,100000,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2022/3/21 0:00,160,170,158,160,219074,,TestStrategy,8,738235,Broker,8,100000,100000,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2022/3/22 0:00,162.5,164.5,155,164.2,149270,,TestStrategy,9,738236,Broker,9,100000,100000,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2022/3/23 0:00,170,180,168.5,173,407544,,TestStrategy,10,738237,Broker,10,100000,100000,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2022/3/24 0:00,174,175,170.2,174.4,268150,,TestStrategy,11,738238,Broker,11,100000,100000,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2022/3/25 0:00,169,172,161.4,162,115970,,TestStrategy,12,738239,Broker,12,100000,100000,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2022/3/28 0:00,161.3,161.3,150,155.8,161315,,TestStrategy,13,738242,Broker,13,100000,100000,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2022/3/29 0:00,163.1,169.5,163,167,95910,,TestStrategy,14,738243,Broker,14,100000,100000,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2022/3/30 0:00,172.5,179.2,171,175.8,94796,,TestStrategy,15,738244,Broker,15,100000,100000,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2022/3/31 0:00,179.3,179.3,172,175.2,92844,,TestStrategy,16,738245,Broker,16,100000,100000,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2022/4/1 0:00,166.3,174,164.4,169.9,231700,,TestStrategy,17,738246,Broker,17,100000,100000,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2022/4/4 0:00,175,196,174,183,225584,,TestStrategy,18,738249,Broker,18,100000,100000,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2022/4/6 0:00,183,183,175,177.2,163640,,TestStrategy,19,738251,Broker,19,100000,100000,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2022/4/7 0:00,175,175,169,170,238580,,TestStrategy,20,738252,Broker,20,100000,100000,BuySell,20,,,Trades - Net Profit/Loss,20,,
